"Company","Vessel Name","IMO"
"Sea World Management & Trading Inc.","Alpine Liberty","9478690"
"Apollo Shipowning Inc.","Alpine Link","9478614"
"Transpetrol TM AS","Alpine Loyalty","9430284"
"Heroic Avenir Inc.","Alpine Madeleine","9380518"
"Sea World Management & Trading Inc.","Alpine Magnolia","9457713"
"Aleppo Shipping Ltd.","Alpine Maria","9655975"
"Ponderosa Shipping Ltd.","Alpine Mary","9655987"
"Heroic Serena Inc.","Alpine Mathilde","9380506"
"Heroic Corona Borealis Inc.","Alpine Maya","9387932"
"Sea World Management & Trading Inc.","Alpine Meadow","9478688"
"Heroic Equuleus Inc.","Alpine Melina","9387944"
"White Hydrangea Shipping SA","Alpine Mia","9391426"
"White Boxwood Shipping SA","Alpine Moment","9391438"
"Heroic Perseus Inc.","Alpine Mystery","9392808"
"Creole Marine Ltd.","Alpine Penelope","9379301"
"Bayside Shipping Ltd.","Alpine Persefone","9379961"
"Transpetrol TM AS","Alpine Venture","9430296"
"Executive Ship Management Pte. Ltd.","Algadisia","9343352"
"Euronav NV","Alsace","9530905"
"Sause Bros., Inc.","Alsea Bay","1144875"
"Super-Eco Tankers Management Inc.","Altair","9797254"
"NYK Shiomanagement Pte. Ltd.","Altair Leader","9539171"
"Diamond Star Shipping Pte. Ltd.","Altair Sky","9811555"
"Calvert Development Corporation","Alterego Il","9247376"
"Beta Maritime Limited","Alucia","7347823"
"Buchanan Maritime Corporation","Alwine Oldendorff","9692698"
"Libyan Voyager Co. Ltd.","Alyarmouk","9356438"
"Ocean Transit Carrier SA","Am Bremen","9566473"
"Mitsubishi Ore Transport Co., Ltd.","AM Contrecoeur","9583184"
"Ocean Transit Carrier SA","AM Express","9461350"
"Primate Shipping SA","Am Gijon","9454151"
"Phil-Bright Ocean Ship Management, Inc.","AM Liberia","9599078"
"The National Shipping Company of Saudi Arabia","Amad","9783693"
"Titanas Product Carrier SA","Amadeus","9700469"
"MOL Chemical Tankers Pte. Ltd.","Amagi Galaxy","9490313"
"TB Marine Shipmanagement GmbH & Co. KG","Amalia","9330355"
"Symbol Maritime Ltd.","Amalthea","9298650"
""K" Line RoRo Bulk Ship Management Co., Ltd.","Amami K","9615731"
"Apex Bulk Carriers LLC","Amanda C","9482782"
"NYK Shiomanagement Pte. Ltd.","Amazing Salute","9477232"
"Jasper Exporting Ltd.","Amazon","9476654"
"Red Leaf International Inc. - Monrovia - Liberia","Amazon","9233260"
"Pilot Shipping Co., Ltd.","Amazon Beauty","9275969"
"Amazonian Enterprises Co., Ltd.","Amazon Brilliance","9294678"
"Prime Navigation Co., Ltd.","Amazon Explorer","9231511"
"Meridian Marine Co., Ltd.","Amazon Falcon","9779587"
"Master Shipping Co., Ltd.","Amazon Fortitude","9820544"
"Countess Shipping Co., Ltd.","Amazon Gladiator","9222132"
"North Caribbean Shipping Co. Ltd.","Amazon Victory","9660358"
"South Caribbean Shipping Co., Ltd.","Amazon Virtue","9660360"
"Sinbanali Shipping Inc.","Ambassador Bridge","9409027"
"Sinbanali Shipping Inc.","Ambassador Bridge","9409027"
"Amber Maritime Limited","Amber Arrow","9277826"
"Ocean Generous Shipping Ltd.","Amber Bay","9764520"
"Redrale Marine Inc.","Amber Sun","9281891"
"Ambrosia Shipping Inc.","Ambrosia","9301029"
"Sietemar SA","Amelia","9624768"
"Garnett Shipping Co.","Amelia Pacific","9325817"
"Nordic Hamburg Shipmanagement GmbH & Co. KG","Amelie","9647289"
"Intrepid Ship Management, Inc.","American Endurance","9759886"
"Intrepid Ship Management, Inc.","American Freedom","9759898"
"Fukunaga Kaiun Co., Ltd.","American Highway","9205976"
"Intrepid Ship Management, Inc.","American Liberty","9763851"
"Intrepid Ship Management, Inc.","American Pride","9763863"
"Teekay Shipping Limited","Americas Spirit","9247443"
"Polar Express SA","Amethyst Ace","9397999"
"Amfitrion Product Carrier SA","Amfitrion","9724623"
"Amfitriti Navigation Inc.","Amifitriti","9419369"
"Amis Star SA","Amis Ace","9552989"
"Triumph Wisdom S.A.","Amis Glory","9731535"
"Guma Marine SA","Amis Kalon","9520807"
"Amis Miracle SA","Amis Miracle","9768045"
"The National Shipping Company of Saudi Arabia","Amjad","9779800"
"Amoliani Maritime Corporation","Amoliani","9635640"
"Filonikis Product Carrier SA","Amor","9700471"
"Amorgos Shipping Corporation","Amorgos","9283801"
"Team Tankers Deep Sea Ltd.","Amorina","9484895"
"Amoureux Carriers Corp.","Amoureux","9337016"
"Giselle Services Company","Amphitrite","9455973"
"Triton Navigation BV","Amstel Eagle","9529516"
"Triton Navigation BV","Amstel Falcon","9460514"
"Triton Navigation BV","Amstel Stork","9758143"
"Holland America Line NV","Amsterdam","9188037"
"Holland America Line NV","Amsterdam","9188037"
"Holland America Line NV","Amsterdam","9188037"
"Euronav NV","Amundsen","9728722"
"Pisa Shipholding Corporation","Analipsi Lady","9282443"
"MSC Mediterranean Shipping Company SA","Anastasia","9625970"
"Aristos Shipping Co. SA","Anatoli","9791987"
